Date,DIS Close Price,NFLX Close Price
23-05-02,23.83,16.75
24-05-02,23.56,16.94
28-05-02,23.54,16.2
29-05-02,23.05,15.45
30-05-02,23.23,15
31-05-02,22.91,15.07
03-06-02,22.5,15.8
04-06-02,22.24,15.65
05-06-02,22.12,16.06
06-06-02,21.7,16.55
07-06-02,21.65,15.66
10-06-02,21.98,16.19
11-06-02,21.58,16.15
12-06-02,21.15,15.3
13-06-02,21.04,15.16
14-06-02,21.03,13.81
17-06-02,21.53,12.91
18-06-02,21.95,12.75
19-06-02,20.86,13.32
20-06-02,19.56,13.4
21-06-02,19.25,13.71
24-06-02,19,13.7
25-06-02,19.23,13.5
26-06-02,19.02,13.84
27-06-02,19.05,13.21
28-06-02,18.9,13.99
01-07-02,18.36,14.39
02-07-02,18.5,16.42
03-07-02,18.95,17
05-07-02,19.79,17.87
08-07-02,19,16.46
09-07-02,18.76,16.25
10-07-02,18.29,16.29
11-07-02,18.7,17.77
12-07-02,18.45,16.91
15-07-02,17.98,16
16-07-02,17.65,15.77
17-07-02,18.14,15.25
18-07-02,17.66,16.09
19-07-02,16.64,16.24
22-07-02,15.9,16.39
23-07-02,15.63,16.05
24-07-02,16.42,15.6
25-07-02,16.53,14.51
26-07-02,16,12.2
29-07-02,17.35,12.27
30-07-02,17.44,12.8
31-07-02,17.73,13.35
01-08-02,16.83,12.48
02-08-02,15.31,10.89
05-08-02,14.27,10.85
06-08-02,14.38,10.65
07-08-02,13.9,11.11
08-08-02,14.5,11.15
09-08-02,14.65,11.02
12-08-02,14.23,10.6
13-08-02,13.77,10.82
14-08-02,14.5,11.67
15-08-02,15.15,12.36
16-08-02,15.86,12.78
19-08-02,16.65,13.75
20-08-02,16.45,13.25
21-08-02,16.9,13.56
22-08-02,17.37,13.77
23-08-02,16.83,13.91
26-08-02,16.67,13.55
27-08-02,16,12.23
28-08-02,15.4,12.1
29-08-02,15.77,12.65
30-08-02,15.68,13.11
03-09-02,14.73,12.96
04-09-02,15.04,13
05-09-02,14.76,12.85
06-09-02,15.36,12.8
09-09-02,15.9,12.62
10-09-02,16.25,13.23
11-09-02,16.18,13.46
12-09-02,15.5,12.95
13-09-02,15.5,12.3
16-09-02,15.82,12
17-09-02,15.98,11.98
18-09-02,15.74,11.03
19-09-02,14.81,10.14
20-09-02,15.24,9.919
23-09-02,15.07,9.961
24-09-02,14.75,10.05
25-09-02,15.43,10.25
26-09-02,15.9,10.97
27-09-02,15.24,10.08
30-09-02,15.14,9.7
01-10-02,15.7,9.5
